row_index,NCT,PubMed ID,Trial name,source_value,maturity,derived_expected_llm_response,table_row_id
1,NCT00324155,21639810,,,unknown,"{""maturity"": ""unknown""}",58
2,NCT00094653,20525992,MDX010-20,,unknown,"{""maturity"": ""unknown""}",59
3,NCT00094653,20525992,MDX010-20,,unknown,"{""maturity"": ""unknown""}",60
4,NCT00257205,23295794,,,unknown,"{""maturity"": ""unknown""}",61
5,NCT02362594,29658430,EORTC 1325-MG/KEYNOTE-054,15.1,immature,"{""maturity"": ""immature""}",62
6,NCT01704287,26115796,KEYNOTE-002,10,immature,"{""maturity"": ""immature""}",63
7,NCT01704287,26115796,KEYNOTE-002,10,immature,"{""maturity"": ""immature""}",64
8,NCT01704287,28961465,KEYNOTE-002,28,mature,"{""maturity"": ""mature""}",65
9,NCT01704287,28961465,KEYNOTE-002,28,mature,"{""maturity"": ""mature""}",66
10,NCT00636168,27717298,,5.3,immature,"{""maturity"": ""immature""}",67
11,NCT01721746,25795410,CheckMate 037,6,immature,"{""maturity"": ""immature""}",68
12,NCT01721746,28671856,CheckMate 037,24,mature,"{""maturity"": ""mature""}",69
13,NCT02130466,31171878,KEYNOTE-022,9.6,immature,"{""maturity"": ""immature""}",70
14,NCT01721772,25399552,CheckMate 066,16.7,immature,"{""maturity"": ""immature""}",71
15,NCT01721772,30422243,CheckMate 066,38.4,mature,"{""maturity"": ""mature""}",72
16,NCT01274338,31880964,E1609,57.4,mature,"{""maturity"": ""mature""}",93
17,NCT01274338,31880964,E1609,57.4,mature,"{""maturity"": ""mature""}",94
18,NCT02523313,32416781,IMMUNED,28.4,mature,"{""maturity"": ""mature""}",95
19,NCT02523313,32416781,IMMUNED,28.4,mature,"{""maturity"": ""mature""}",96
20,NCT02908672,32534646,IMspire150,18.9,immature,"{""maturity"": ""immature""}",104
21,NCT00094653,23942774,MDX010-20,,unknown,"{""maturity"": ""unknown""}",117
22,NCT00094653,23942774,MDX010-20,,unknown,"{""maturity"": ""unknown""}",118
23,NCT01721772,32997575,CheckMate 066,,unknown,"{""maturity"": ""unknown""}",135
24,NCT02130466,33361337,KEYNOTE-022,36.6,mature,"{""maturity"": ""mature""}",136
25,NCT02362594,32946353,EORTC 1325-MG/KEYNOTE-054,36.6,mature,"{""maturity"": ""mature""}",141
26, NCT00636168,25840693,,,unknown,"{""maturity"": ""unknown""}",142
