row_index,NCT,PubMed ID,Trial name,source_value,era,derived_expected_llm_response
1,NCT02685059,31095287,GeparNuevo,2019,≥2019,"{""era"": ""≥2019""}"
2,NCT02125461,28885881,PACIFIC,2017,2015–2018,"{""era"": ""2015–2018""}"
3,NCT02125461,30280658,PACIFIC,2018,2015–2018,"{""era"": ""2015–2018""}"
4,NCT02454933,30763730,CAURAL,2019,≥2019,"{""era"": ""≥2019""}"
5,NCT03043872,31590988,CASPIAN,2019,≥2019,"{""era"": ""≥2019""}"
6,NCT02352948,32201234,ARCTIC,2020,≥2019,"{""era"": ""≥2019""}"
7,NCT02453282,32271377,MYSTIC,2020,≥2019,"{""era"": ""≥2019""}"
8,NCT02369874,32294530,EAGLE,2020,≥2019,"{""era"": ""≥2019""}"
9,NCT02516241,32971005,DANUBE,2020,≥2019,"{""era"": ""≥2019""}"
10,NCT03043872,33285097,CASPIAN,2020,≥2019,"{""era"": ""≥2019""}"
11,NCT02299999,33462450,SAFIR02-BREAST IMMUNO,2021,≥2019,"{""era"": ""≥2019""}"
