row_index,NCT,PubMed ID,Trial name,source_value,control_category,derived_expected_llm_response
1,NCT01673867,26412456,Checkmate 057,Chemo,active,"{""control_category"": ""active""}"
2,NCT01642004,26028407,Checkmate 017,Chemo,active,"{""control_category"": ""active""}"
3,NCT02041533,28636851,Checkmate 026,Chemo,active,"{""control_category"": ""active""}"
4,NCT01285609,28854067,,Chemo,active,"{""control_category"": ""active""}"
5,NCT02125461,28885881,PACIFIC,Placebo  ,placebo,"{""control_category"": ""placebo""}"
6,NCT02125461,30280658,PACIFIC,Placebo  ,placebo,"{""control_category"": ""placebo""}"
7,NCT02395172,30262187,JAVELIN Lung 200,Chemo,active,"{""control_category"": ""active""}"
8,NCT02008227,27979383,OAK,Chemo,active,"{""control_category"": ""active""}"
9,NCT02008227,29777823,OAK,Chemo,active,"{""control_category"": ""active""}"
10,NCT02578680,29658856,Keynote-189,Chemo,active,"{""control_category"": ""active""}"
11,NCT02775435,30280635,Keynote-407,Chemo,active,"{""control_category"": ""active""}"
12,NCT02366143,29863955,IMPower150,Chemo+Anti-VEGF,active,"{""control_category"": ""active""}"
13,NCT02366143,29863955,IMPower150,Chemo+Anti-VEGF,active,"{""control_category"": ""active""}"
14,NCT02477826,29658845,Checkmate 227,Chemo,active,"{""control_category"": ""active""}"
15,NCT02477826,29658845,Checkmate 227,Chemo,active,"{""control_category"": ""active""}"
16,NCT02477826,31562796,Checkmate 227,Chemo,active,"{""control_category"": ""active""}"
17,NCT02477826,31562796,Checkmate 227,Chemo,active,"{""control_category"": ""active""}"
18,NCT02477826,31562796,Checkmate 227,Chemo,active,"{""control_category"": ""active""}"
19,NCT02220894,30955977,Keynote-042,Chemo,active,"{""control_category"": ""active""}"
20,NCT02142738,30620668,Keynote-024,Chemo,active,"{""control_category"": ""active""}"
21,NCT02367781,31122901,IMpower130,Chemo,active,"{""control_category"": ""active""}"
22,NCT02613507,30659987,Checkmate 078,Chemo,active,"{""control_category"": ""active""}"
23,NCT02454933,30763730,CAURAL,TKI,active,"{""control_category"": ""active""}"
24,NCT02352948,32201234,ARCTIC,Chemo/TKI,active,"{""control_category"": ""active""}"
25,NCT02352948,32201234,ARCTIC,Chemo/TKI,active,"{""control_category"": ""active""}"
26,NCT02352948,32201234,ARCTIC,Chemo/TKI,active,"{""control_category"": ""active""}"
27,NCT02453282,32271377,MYSTIC,Chemo,active,"{""control_category"": ""active""}"
28,NCT02453282,32271377,MYSTIC,Chemo,active,"{""control_category"": ""active""}"
29,NCT02367794,32302702,IMpower131,Chemo,active,"{""control_category"": ""active""}"
30,NCT02367794,32302702,IMpower131,Chemo,active,"{""control_category"": ""active""}"
31,NCT02142738,27718847,Keynote-024,Chemo,active,"{""control_category"": ""active""}"
32,NCT02409342,32997907,IMpower110,Chemo,active,"{""control_category"": ""active""}"
33,NCT02008227,33166718,OAK,Chemo,active,"{""control_category"": ""active""}"
34,NCT03215706,33476593,CheckMate 9LA,Chemo,active,"{""control_category"": ""active""}"
35,NCT03088540,33581821,EMPOWER-Lung 1,Chemo,active,"{""control_category"": ""active""}"
