row_index,NCT,PubMed ID,Trial name,source_value,maturity,derived_expected_llm_response,table_row_id
1,NCT00527735,22547592,,,unknown,"{""maturity"": ""unknown""}",23
2,NCT00527735,22547592,,,unknown,"{""maturity"": ""unknown""}",24
3,NCT01673867,26412456,Checkmate 057,,unknown,"{""maturity"": ""unknown""}",27
4,NCT01642004,26028407,Checkmate 017,,unknown,"{""maturity"": ""unknown""}",28
5,NCT01905657,26712084,Keynote-010,,unknown,"{""maturity"": ""unknown""}",29
6,NCT01905657,26712084,Keynote-010,,unknown,"{""maturity"": ""unknown""}",30
7,NCT01903993,26970723,POPLAR,,unknown,"{""maturity"": ""unknown""}",31
8,NCT02041533,28636851,Checkmate 026,13.5,immature,"{""maturity"": ""immature""}",33
9,NCT01285609,28854067,,,unknown,"{""maturity"": ""unknown""}",34
10,NCT02125461,28885881,PACIFIC,14.5,immature,"{""maturity"": ""immature""}",35
11,NCT02125461,30280658,PACIFIC,25.2,mature,"{""maturity"": ""mature""}",36
12,NCT02395172,30262187,JAVELIN Lung 200,18.3,immature,"{""maturity"": ""immature""}",37
13,NCT02039674,27745820,Keynote-021,10.6,immature,"{""maturity"": ""immature""}",38
14,NCT02039674,30138764,Keynote-021,23.9,immature,"{""maturity"": ""immature""}",39
15,NCT02008227,27979383,OAK,21,immature,"{""maturity"": ""immature""}",40
16,NCT02008227,29777823,OAK,26,mature,"{""maturity"": ""mature""}",41
17,NCT02578680,29658856,Keynote-189,10.5,immature,"{""maturity"": ""immature""}",42
18,NCT02775435,30280635,Keynote-407,7.8,immature,"{""maturity"": ""immature""}",44
19,NCT02366143,29863955,IMPower150,"MIN for PFS 9.5, OS 14; MEDIAN for OS 20",unknown,"{""maturity"": ""unknown""}",45
20,NCT02366143,29863955,IMPower150,"MIN for PFS 9.5, OS 14; MEDIAN for OS 20",unknown,"{""maturity"": ""unknown""}",46
21,NCT02477826,29658845,Checkmate 227,11.2,immature,"{""maturity"": ""immature""}",47
22,NCT02477826,29658845,Checkmate 227,11.2,immature,"{""maturity"": ""immature""}",48
23,NCT02477826,31562796,Checkmate 227,29.3,mature,"{""maturity"": ""mature""}",49
24,NCT02477826,31562796,Checkmate 227,29.3,mature,"{""maturity"": ""mature""}",50
25,NCT02477826,31562796,Checkmate 227,29.3,mature,"{""maturity"": ""mature""}",51
26,NCT02220894,30955977,Keynote-042,12.8,immature,"{""maturity"": ""immature""}",52
27,NCT02142738,30620668,Keynote-024,25.2,mature,"{""maturity"": ""mature""}",54
28,NCT02367781,31122901,IMpower130,,unknown,"{""maturity"": ""unknown""}",55
29,NCT02613507,30659987,Checkmate 078,8.8,immature,"{""maturity"": ""immature""}",56
30,NCT02454933,30763730,CAURAL,,unknown,"{""maturity"": ""unknown""}",57
31,NCT02352948,32201234,ARCTIC,9.1,immature,"{""maturity"": ""immature""}",89
32,NCT02352948,32201234,ARCTIC,9.1,immature,"{""maturity"": ""immature""}",90
33,NCT02352948,32201234,ARCTIC,9.1,immature,"{""maturity"": ""immature""}",91
34,NCT02453282,32271377,MYSTIC,"30.2, 10.6",unknown,"{""maturity"": ""unknown""}",99
35,NCT02453282,32271377,MYSTIC,"30.2, 10.6",unknown,"{""maturity"": ""unknown""}",100
36,NCT02367794,32302702,IMpower131,,unknown,"{""maturity"": ""unknown""}",102
37,NCT02367794,32302702,IMpower131,,unknown,"{""maturity"": ""unknown""}",103
38,NCT02574598,32271354,PROLUNG,,unknown,"{""maturity"": ""unknown""}",113
39,NCT02142738,27718847,Keynote-024,,unknown,"{""maturity"": ""unknown""}",116
40,NCT02409342,32997907,IMpower110,13.4,immature,"{""maturity"": ""immature""}",129
41,NCT01903993,33166718,POPLAR,48.6,mature,"{""maturity"": ""mature""}",143
42,NCT02008227,33166718,OAK,47.7,mature,"{""maturity"": ""mature""}",144
43,NCT03215706,33476593,CheckMate 9LA,13.2,immature,"{""maturity"": ""immature""}",146
44,NCT03088540,33581821,EMPOWER-Lung 1,,unknown,"{""maturity"": ""unknown""}",155
45,NCT02852083, 33796020,ModuLung,8.3,immature,"{""maturity"": ""immature""}",156
