row_index,NCT,PubMed ID,Trial name,source_value,era,derived_expected_llm_response,table_row_id
1,NCT01585987,28655793,,2017,2015–2018,"{""era"": ""2015–2018""}",8
2,NCT00527735,22547592,,2012,≤2014,"{""era"": ""≤2014""}",23
3,NCT00527735,22547592,,2012,≤2014,"{""era"": ""≤2014""}",24
4,NCT00527735,22858559,,2012,≤2014,"{""era"": ""≤2014""}",25
5,NCT00527735,22858559,,2012,≤2014,"{""era"": ""≤2014""}",26
6,NCT01450761,27458307,CA184-156,2016,2015–2018,"{""era"": ""2015–2018""}",32
7,NCT01285609,28854067,,2017,2015–2018,"{""era"": ""2015–2018""}",34
8,NCT00324155,21639810,,2011,≤2014,"{""era"": ""≤2014""}",58
9,NCT00094653,20525992,MDX010-20,2010,≤2014,"{""era"": ""≤2014""}",59
10,NCT00094653,20525992,MDX010-20,2010,≤2014,"{""era"": ""≤2014""}",60
11,NCT00636168,27717298,,2016,2015–2018,"{""era"": ""2015–2018""}",67
12,NCT00861614,24831977,CA184-043,2014,≤2014,"{""era"": ""≤2014""}",76
13,NCT01057810,28034081,CA184-095,2017,2015–2018,"{""era"": ""2015–2018""}",77
14,NCT01274338,31880964,E1609,2020,≥2019,"{""era"": ""≥2019""}",93
15,NCT01274338,31880964,E1609,2020,≥2019,"{""era"": ""≥2019""}",94
16,NCT01896869,32591464,,2020,≥2019,"{""era"": ""≥2019""}",97
17,NCT00094653,23942774,MDX010-20,2013,≤2014,"{""era"": ""≤2014""}",117
18,NCT00094653,23942774,MDX010-20,2013,≤2014,"{""era"": ""≤2014""}",118
19,NCT00861614,32811715,CA184-043,2020,≥2019,"{""era"": ""≥2019""}",134
20, NCT00636168,25840693,,2015,2015–2018,"{""era"": ""2015–2018""}",142
