row_index,NCT,PubMed ID,Trial name,source_value,is_combination,derived_expected_llm_response
1,NCT02425891,30345906,IMpassion130,Combination,true,"{""is_combination"": true}"
2,NCT02685059,31095287,GeparNuevo,Combination,true,"{""is_combination"": true}"
3,NCT01042379,32053137,I-SPY2,Combination,true,"{""is_combination"": true}"
4,NCT02425891,31786121,IMpassion130,Combination,true,"{""is_combination"": true}"
5,NCT03036488,32101663,KEYNOTE-522,Combination,true,"{""is_combination"": true}"
6,NCT03051659,32880602,,Combination,true,"{""is_combination"": true}"
7,NCT02819518,33278935,MK-3475/Keynote-355,Combination,true,"{""is_combination"": true}"
8,NCT03197935,32966830,IMpassion031,Combination,true,"{""is_combination"": true}"
9,NCT02924883,33002436,KATE2,Combination,true,"{""is_combination"": true}"
10,NCT02299999,33462450,SAFIR02-BREAST IMMUNO,Monotherapy,false,"{""is_combination"": false}"
11,NCT02555657,33676601,Keynote-119,Monotherapy,false,"{""is_combination"": false}"
