row_index,NCT,PubMed ID,Trial name,source_value,is_combination,derived_expected_llm_response
1,NCT00527735,22547592,,Combination,true,"{""is_combination"": true}"
2,NCT00527735,22547592,,Combination,true,"{""is_combination"": true}"
3,NCT01673867,26412456,Checkmate 057,Monotherapy,false,"{""is_combination"": false}"
4,NCT01642004,26028407,Checkmate 017,Monotherapy,false,"{""is_combination"": false}"
5,NCT01905657,26712084,Keynote-010,Monotherapy,false,"{""is_combination"": false}"
6,NCT01905657,26712084,Keynote-010,Monotherapy,false,"{""is_combination"": false}"
7,NCT01903993,26970723,POPLAR,Monotherapy,false,"{""is_combination"": false}"
8,NCT02041533,28636851,Checkmate 026,Monotherapy,false,"{""is_combination"": false}"
9,NCT01285609,28854067,,Combination,true,"{""is_combination"": true}"
10,NCT02125461,28885881,PACIFIC,Monotherapy,false,"{""is_combination"": false}"
11,NCT02125461,30280658,PACIFIC,Monotherapy,false,"{""is_combination"": false}"
12,NCT02395172,30262187,JAVELIN Lung 200,Monotherapy,false,"{""is_combination"": false}"
13,NCT02039674,27745820,Keynote-021,Combination,true,"{""is_combination"": true}"
14,NCT02039674,30138764,Keynote-021,Combination,true,"{""is_combination"": true}"
15,NCT02008227,27979383,OAK,Monotherapy,false,"{""is_combination"": false}"
16,NCT02008227,29777823,OAK,Monotherapy,false,"{""is_combination"": false}"
17,NCT02578680,29658856,Keynote-189,Combination,true,"{""is_combination"": true}"
18,NCT02775435,30280635,Keynote-407,Combination,true,"{""is_combination"": true}"
19,NCT02366143,29863955,IMPower150,Combination,true,"{""is_combination"": true}"
20,NCT02366143,29863955,IMPower150,Combination,true,"{""is_combination"": true}"
21,NCT02477826,29658845,Checkmate 227,Combination,true,"{""is_combination"": true}"
22,NCT02477826,29658845,Checkmate 227,Monotherapy,false,"{""is_combination"": false}"
23,NCT02477826,31562796,Checkmate 227,Combination,true,"{""is_combination"": true}"
24,NCT02477826,31562796,Checkmate 227,Monotherapy,false,"{""is_combination"": false}"
25,NCT02477826,31562796,Checkmate 227,Combination,true,"{""is_combination"": true}"
26,NCT02220894,30955977,Keynote-042,Monotherapy,false,"{""is_combination"": false}"
27,NCT02142738,30620668,Keynote-024,Monotherapy,false,"{""is_combination"": false}"
28,NCT02367781,31122901,IMpower130,Combination,true,"{""is_combination"": true}"
29,NCT02613507,30659987,Checkmate 078,Monotherapy,false,"{""is_combination"": false}"
30,NCT02454933,30763730,CAURAL,Combination,true,"{""is_combination"": true}"
31,NCT02352948,32201234,ARCTIC,Monotherapy,false,"{""is_combination"": false}"
32,NCT02352948,32201234,ARCTIC,Monotherapy,false,"{""is_combination"": false}"
33,NCT02352948,32201234,ARCTIC,Combination,true,"{""is_combination"": true}"
34,NCT02453282,32271377,MYSTIC,Monotherapy,false,"{""is_combination"": false}"
35,NCT02453282,32271377,MYSTIC,Combination,true,"{""is_combination"": true}"
36,NCT02367794,32302702,IMpower131,Combination,true,"{""is_combination"": true}"
37,NCT02367794,32302702,IMpower131,Combination,true,"{""is_combination"": true}"
38,NCT02574598,32271354,PROLUNG,Combination,true,"{""is_combination"": true}"
39,NCT02142738,27718847,Keynote-024,Monotherapy,false,"{""is_combination"": false}"
40,NCT02409342,32997907,IMpower110,Monotherapy,false,"{""is_combination"": false}"
41,NCT01903993,33166718,POPLAR,Monotherapy,false,"{""is_combination"": false}"
42,NCT02008227,33166718,OAK,Monotherapy,false,"{""is_combination"": false}"
43,NCT03215706,33476593,CheckMate 9LA,Combination,true,"{""is_combination"": true}"
44,NCT03088540,33581821,EMPOWER-Lung 1,Monotherapy,false,"{""is_combination"": false}"
45,NCT02852083, 33796020,ModuLung,Monotherapy,false,"{""is_combination"": false}"
