row_index,NCT,PubMed ID,Trial name,source_value,followup_type,derived_expected_llm_response
1,NCT01668784,26406148,CheckMate 025,Minimum,,"{""followup_type"": null}"
2,NCT01984242,29867230,IMmotion150,Median,,"{""followup_type"": null}"
3,NCT01984242,29867230,IMmotion150,Median,,"{""followup_type"": null}"
4,NCT02231749,29562145,CheckMate 214,Median,,"{""followup_type"": null}"
5,NCT02231749,31427204,CheckMate 214,Median,,"{""followup_type"": null}"
6,NCT02684006,30779531,JAVELIN Renal 101,Median,,"{""followup_type"": null}"
7,NCT02853331,30779529,KEYNOTE-426,Median,,"{""followup_type"": null}"
8,NCT02420821,31079938,IMmotion151,Median,,"{""followup_type"": null}"
9,NCT02231749,32661118,CheckMate 214,Minimum,,"{""followup_type"": null}"
10,NCT01668784,32673417,CheckMate 025,Median,,"{""followup_type"": null}"
11,NCT02684006,32339648,JAVELIN Renal 101,Median,,"{""followup_type"": null}"
12,NCT02853331,33284113,Keynote-426,Median,,"{""followup_type"": null}"
13,NCT02811861,33616314,CLEAR,Median,,"{""followup_type"": null}"
14,NCT03141177,33657295,CheckMate 9ER,Median,,"{""followup_type"": null}"
