row_index,Follow-up duration for primary endpoint(s) in months | Overall,Follow-up duration for primary endpoint(s) in months | Control
1,,"9.4 | 6 | 8.5 | 15.7 | 11.8 | 19.2 | 24.8, 16.1 | 10.9"
2,,"9.4 | 6 | 8.5 | 15.7 | 11.8 | 19.2 | 24.8, 16.1 | 10.9"
3,,"9.4 | 6 | 8.5 | 15.7 | 11.8 | 19.2 | 24.8, 16.1 | 10.9"
4,,"9.4 | 6 | 8.5 | 15.7 | 11.8 | 19.2 | 24.8, 16.1 | 10.9"
5,,"9.4 | 6 | 8.5 | 15.7 | 11.8 | 19.2 | 24.8, 16.1 | 10.9"
6,,"9.4 | 6 | 8.5 | 15.7 | 11.8 | 19.2 | 24.8, 16.1 | 10.9"
7,,"9.4 | 6 | 8.5 | 15.7 | 11.8 | 19.2 | 24.8, 16.1 | 10.9"
8,13.5,
9,,"9.4 | 6 | 8.5 | 15.7 | 11.8 | 19.2 | 24.8, 16.1 | 10.9"
10,14.5,
11,25.2,
12,18.3,17.8
13,10.6,
14,23.9,
15,21,
16,26,
17,10.5,
18,7.8,
19,"MIN for PFS 9.5, OS 14; MEDIAN for OS 20",15.5
20,"MIN for PFS 9.5, OS 14; MEDIAN for OS 20",15.5
21,11.2,
22,11.2,
23,29.3,
24,29.3,
25,29.3,
26,12.8,
27,25.2,
28,,"9.4 | 6 | 8.5 | 15.7 | 11.8 | 19.2 | 24.8, 16.1 | 10.9"
29,8.8,MEDIAN 8.8
30,,"9.4 | 6 | 8.5 | 15.7 | 11.8 | 19.2 | 24.8, 16.1 | 10.9"
31,9.1,
32,9.1,
33,9.1,
34,"30.2, 10.6",
35,"30.2, 10.6",
36,,"9.4 | 6 | 8.5 | 15.7 | 11.8 | 19.2 | 24.8, 16.1 | 10.9"
37,,"9.4 | 6 | 8.5 | 15.7 | 11.8 | 19.2 | 24.8, 16.1 | 10.9"
38,,"9.4 | 6 | 8.5 | 15.7 | 11.8 | 19.2 | 24.8, 16.1 | 10.9"
39,,"9.4 | 6 | 8.5 | 15.7 | 11.8 | 19.2 | 24.8, 16.1 | 10.9"
40,13.4,
41,48.6,
42,47.7,
43,13.2,
44,,"9.4 | 6 | 8.5 | 15.7 | 11.8 | 19.2 | 24.8, 16.1 | 10.9"
45,8.3,
