row_index,NCT,PubMed ID,Trial name,source_value,maturity,derived_expected_llm_response
1,NCT00527735,22858559,,11.1,immature,"{""maturity"": ""immature""}"
2,NCT00527735,22858559,,11.1,immature,"{""maturity"": ""immature""}"
3,NCT01450761,27458307,CA184-156,,unknown,"{""maturity"": ""unknown""}"
4,NCT02763579,30280641,IMPower 133,13.9,immature,"{""maturity"": ""immature""}"
5,NCT03059667,30664989,IFCT-1603,13.7,immature,"{""maturity"": ""immature""}"
6,NCT03043872,31590988,CASPIAN,14.2,immature,"{""maturity"": ""immature""}"
7,NCT03043872,31590988,CASPIAN,14.2,immature,"{""maturity"": ""immature""}"
8,NCT02763579,31959349,IMpower133,,unknown,"{""maturity"": ""unknown""}"
9,NCT03066778,32468956,KEYNOTE-604,,unknown,"{""maturity"": ""unknown""}"
10,NCT03043872,33285097,CASPIAN,25.1,mature,"{""maturity"": ""mature""}"
11,NCT03043872,33285097,CASPIAN,25.1,mature,"{""maturity"": ""mature""}"
12,NCT02481830,33539946,CheckMate 331,15.8,immature,"{""maturity"": ""immature""}"
13,NCT02538666,33683919,CheckMate 451,,unknown,"{""maturity"": ""unknown""}"
14,NCT02538666,33683919,CheckMate 451,,unknown,"{""maturity"": ""unknown""}"
