row_index,NCT,Trial name,Follow-up duration for primary endpoint(s) in months | Overall,Follow-up duration for primary endpoint(s) in months | Control
1,NCT02425891,IMpassion130,12.9,12–23
2,NCT02685059,GeparNuevo,,
3,NCT01042379,I-SPY2,,
4,NCT02425891,IMpassion130,,
5,NCT03036488,KEYNOTE-522,15.5,12–23
6,NCT03051659,,10.5,<12
7,NCT02819518,MK-3475/Keynote-355,,
8,NCT03197935,IMpassion031,,
9,NCT02924883,KATE2,,
10,NCT02299999,SAFIR02-BREAST IMMUNO,19.7,12–23
11,NCT02555657,Keynote-119,31.4,≥24
