row_index,Number of arms,Secondary endpoint
1,2,"ORR; PFS, association between overall survival and tumor expression of PD-L1; incidence of adverse events. | ORR, PFS and OS in 
intention-to-treat population; incidence rate of adverse events among all treated patients. | ORR, PFS and OS in intention-to-treat population; incidence rate of adverse events among all treated patients. | PFS and OS irrespective of PD-L1 expression; PFS as determined by investigator assessment; ORR; adverse events; pharmacokinetic measures; tumor tissue biomarkers; patient-reported outcomes. | ORR; duration of response; safety | OS in PD-L1 positive population; PFS in the ITT population; proportion of patients who achieved an objective response; duration of response; patient-reported outcomes; safety | ORR, PFS and OS in ITT population; incidence rate of AEs. | ORR, DoR, safety, tolerability | OS; ORR; safety"
2,3,"Investigator-assessed PFS; ORR; 
DOR; OS; patient-reported outcomes; safety. | OS; ORR; safety; investigator-assessed PFS"
3,3,"Investigator-assessed PFS; ORR; 
DOR; OS; patient-reported outcomes; safety. | OS; ORR; safety; investigator-assessed PFS"
4,2,"ORR; PFS, association between overall survival and tumor expression of PD-L1; incidence of adverse events. | ORR, PFS and OS in 
intention-to-treat population; incidence rate of adverse events among all treated patients. | ORR, PFS and OS in intention-to-treat population; incidence rate of adverse events among all treated patients. | PFS and OS irrespective of PD-L1 expression; PFS as determined by investigator assessment; ORR; adverse events; pharmacokinetic measures; tumor tissue biomarkers; patient-reported outcomes. | ORR; duration of response; safety | OS in PD-L1 positive population; PFS in the ITT population; proportion of patients who achieved an objective response; duration of response; patient-reported outcomes; safety | ORR, PFS and OS in ITT population; incidence rate of AEs. | ORR, DoR, safety, tolerability | OS; ORR; safety"
5,2,"ORR; PFS, association between overall survival and tumor expression of PD-L1; incidence of adverse events. | ORR, PFS and OS in 
intention-to-treat population; incidence rate of adverse events among all treated patients. | ORR, PFS and OS in intention-to-treat population; incidence rate of adverse events among all treated patients. | PFS and OS irrespective of PD-L1 expression; PFS as determined by investigator assessment; ORR; adverse events; pharmacokinetic measures; tumor tissue biomarkers; patient-reported outcomes. | ORR; duration of response; safety | OS in PD-L1 positive population; PFS in the ITT population; proportion of patients who achieved an objective response; duration of response; patient-reported outcomes; safety | ORR, PFS and OS in ITT population; incidence rate of AEs. | ORR, DoR, safety, tolerability | OS; ORR; safety"
6,2,"ORR; PFS, association between overall survival and tumor expression of PD-L1; incidence of adverse events. | ORR, PFS and OS in 
intention-to-treat population; incidence rate of adverse events among all treated patients. | ORR, PFS and OS in intention-to-treat population; incidence rate of adverse events among all treated patients. | PFS and OS irrespective of PD-L1 expression; PFS as determined by investigator assessment; ORR; adverse events; pharmacokinetic measures; tumor tissue biomarkers; patient-reported outcomes. | ORR; duration of response; safety | OS in PD-L1 positive population; PFS in the ITT population; proportion of patients who achieved an objective response; duration of response; patient-reported outcomes; safety | ORR, PFS and OS in ITT population; incidence rate of AEs. | ORR, DoR, safety, tolerability | OS; ORR; safety"
7,2,"ORR; PFS, association between overall survival and tumor expression of PD-L1; incidence of adverse events. | ORR, PFS and OS in 
intention-to-treat population; incidence rate of adverse events among all treated patients. | ORR, PFS and OS in intention-to-treat population; incidence rate of adverse events among all treated patients. | PFS and OS irrespective of PD-L1 expression; PFS as determined by investigator assessment; ORR; adverse events; pharmacokinetic measures; tumor tissue biomarkers; patient-reported outcomes. | ORR; duration of response; safety | OS in PD-L1 positive population; PFS in the ITT population; proportion of patients who achieved an objective response; duration of response; patient-reported outcomes; safety | ORR, PFS and OS in ITT population; incidence rate of AEs. | ORR, DoR, safety, tolerability | OS; ORR; safety"
8,2,"ORR; PFS, association between overall survival and tumor expression of PD-L1; incidence of adverse events. | ORR, PFS and OS in 
intention-to-treat population; incidence rate of adverse events among all treated patients. | ORR, PFS and OS in intention-to-treat population; incidence rate of adverse events among all treated patients. | PFS and OS irrespective of PD-L1 expression; PFS as determined by investigator assessment; ORR; adverse events; pharmacokinetic measures; tumor tissue biomarkers; patient-reported outcomes. | ORR; duration of response; safety | OS in PD-L1 positive population; PFS in the ITT population; proportion of patients who achieved an objective response; duration of response; patient-reported outcomes; safety | ORR, PFS and OS in ITT population; incidence rate of AEs. | ORR, DoR, safety, tolerability | OS; ORR; safety"
9,2,"ORR; PFS, association between overall survival and tumor expression of PD-L1; incidence of adverse events. | ORR, PFS and OS in 
intention-to-treat population; incidence rate of adverse events among all treated patients. | ORR, PFS and OS in intention-to-treat population; incidence rate of adverse events among all treated patients. | PFS and OS irrespective of PD-L1 expression; PFS as determined by investigator assessment; ORR; adverse events; pharmacokinetic measures; tumor tissue biomarkers; patient-reported outcomes. | ORR; duration of response; safety | OS in PD-L1 positive population; PFS in the ITT population; proportion of patients who achieved an objective response; duration of response; patient-reported outcomes; safety | ORR, PFS and OS in ITT population; incidence rate of AEs. | ORR, DoR, safety, tolerability | OS; ORR; safety"
10,2,"ORR; PFS, association between overall survival and tumor expression of PD-L1; incidence of adverse events. | ORR, PFS and OS in 
intention-to-treat population; incidence rate of adverse events among all treated patients. | ORR, PFS and OS in intention-to-treat population; incidence rate of adverse events among all treated patients. | PFS and OS irrespective of PD-L1 expression; PFS as determined by investigator assessment; ORR; adverse events; pharmacokinetic measures; tumor tissue biomarkers; patient-reported outcomes. | ORR; duration of response; safety | OS in PD-L1 positive population; PFS in the ITT population; proportion of patients who achieved an objective response; duration of response; patient-reported outcomes; safety | ORR, PFS and OS in ITT population; incidence rate of AEs. | ORR, DoR, safety, tolerability | OS; ORR; safety"
