row_index,Number of arms category,NCT,Trial name,Cancer type,Secondary endpoint
1,≥3-arm,NCT00527735,,Non-Small Cell Lung,
2,≥3-arm,NCT00527735,,Non-Small Cell Lung,
3,2-arm,NCT01673867,Checkmate 057,Non-Small Cell Lung,
4,2-arm,NCT01642004,Checkmate 017,Non-Small Cell Lung,
5,≥3-arm,NCT01905657,Keynote-010,Non-Small Cell Lung,
6,≥3-arm,NCT01905657,Keynote-010,Non-Small Cell Lung,
7,2-arm,NCT01903993,POPLAR,Non-Small Cell Lung,
8,2-arm,NCT02041533,Checkmate 026,Non-Small Cell Lung,
9,2-arm,NCT01285609,,Non-Small Cell Lung,
10,2-arm,NCT02125461,PACIFIC,Non-Small Cell Lung,
11,2-arm,NCT02125461,PACIFIC,Non-Small Cell Lung,
12,2-arm,NCT02395172,JAVELIN Lung 200,Non-Small Cell Lung,
13,2-arm,NCT02039674,Keynote-021,Non-Small Cell Lung,
14,2-arm,NCT02039674,Keynote-021,Non-Small Cell Lung,
15,2-arm,NCT02008227,OAK,Non-Small Cell Lung,
16,2-arm,NCT02008227,OAK,Non-Small Cell Lung,
17,2-arm,NCT02578680,Keynote-189,Non-Small Cell Lung,
18,2-arm,NCT02775435,Keynote-407,Non-Small Cell Lung,
19,≥3-arm,NCT02366143,IMPower150,Non-Small Cell Lung,
20,≥3-arm,NCT02366143,IMPower150,Non-Small Cell Lung,
21,≥3-arm,NCT02477826,Checkmate 227,Non-Small Cell Lung,
22,≥3-arm,NCT02477826,Checkmate 227,Non-Small Cell Lung,
23,≥3-arm,NCT02477826,Checkmate 227,Non-Small Cell Lung,
24,≥3-arm,NCT02477826,Checkmate 227,Non-Small Cell Lung,
25,≥3-arm,NCT02477826,Checkmate 227,Non-Small Cell Lung,
26,2-arm,NCT02220894,Keynote-042,Non-Small Cell Lung,
27,2-arm,NCT02142738,Keynote-024,Non-Small Cell Lung,
28,2-arm,NCT02367781,IMpower130,Non-Small Cell Lung,
29,2-arm,NCT02613507,Checkmate 078,Non-Small Cell Lung,
30,2-arm,NCT02454933,CAURAL,Non-Small Cell Lung,
31,≥3-arm,NCT02352948,ARCTIC,Non-Small Cell Lung,
32,≥3-arm,NCT02352948,ARCTIC,Non-Small Cell Lung,
33,≥3-arm,NCT02352948,ARCTIC,Non-Small Cell Lung,
34,≥3-arm,NCT02453282,MYSTIC,Non-Small Cell Lung,
35,≥3-arm,NCT02453282,MYSTIC,Non-Small Cell Lung,
36,≥3-arm,NCT02367794,IMpower131,Non-Small Cell Lung,
37,≥3-arm,NCT02367794,IMpower131,Non-Small Cell Lung,
38,2-arm,NCT02574598,PROLUNG,Non-Small Cell Lung,
39,2-arm,NCT02142738,Keynote-024,Non-Small Cell Lung,
40,2-arm,NCT02409342,IMpower110,Non-Small Cell Lung,
41,2-arm,NCT02657434,Impower 132,NSCLC,
42,2-arm,NCT01903993,POPLAR,Non-Small Cell Lung,
43,2-arm,NCT02008227,OAK,Non-Small Cell Lung,
44,2-arm,NCT03215706,CheckMate 9LA,Non-Small Cell Lung,
45,2-arm,NCT03088540,EMPOWER-Lung 1,Non-Small Cell Lung,
46,2-arm,NCT02852083,ModuLung,Non-Small Cell Lung,
